[CODECSTATS]
CodecsTotal=370
CodecsVer=0.7.0

[#EVENT/#THIS/IDCODECS]
mp2	---	---	DEA D 	mp2	MP2	Y	MP2 (MPEG audio layer 2)
mp2	---	---	D A D 	mp2float	unregistered	Y	MP2 (MPEG audio layer 2)
mp3	---	---	D A D 	mp3	MP3 (libav)	Y	MP3 (MPEG audio layer 3)
mp3	---	---	D A D 	mp3adu	unregistered	Y	ADU (Application Data Unit) MP3 (MPEG audio layer 3)
mp3	---	---	D A D 	mp3adufloat	unregistered	Y	ADU (Application Data Unit) MP3 (MPEG audio layer 3)
mp3	---	---	D A D 	mp3float	unregistered	Y	MP3 (MPEG audio layer 3)
m4a	---	---	D A D 	mp3on4	unregistered	Y	MP3onMP4
mp3	---	---	D A D 	mp3on4float	unregistered	Y	MP3onMP4
mpc	---	---	D A D 	mpc7	unregistered	Y	Musepack SV7
mpc	---	---	D A D 	mpc8	unregistered	Y	Musepack SV8
mpg	m1v	mpg	DEVSDT	mpeg1video	MPEG-1	Y	MPEG-1 video
mpg	m2v	mpg	DEVSDT	mpeg2video	MPEG-2	Y	MPEG-2 video
avi	m4v	mp4	DEVSDT	mpeg4	MPEG-4	Y	MPEG-4 part 2
m4a	---	---	D A   	mpeg4aac	unregistered	Y	libfaad AAC (Advanced Audio Codec)
---	---	---	D VSDT	mpegvideo	unregistered	Y	MPEG-1 video
---	---	---	D V D 	msa1	unregistered	Y	MS ATC Screen
avi	m4v	mp4	DEVSD 	msmpeg4	unregistered	Y	MPEG-4 part 2 Microsoft variant version 3
avi	m4v	mp4	D VSD 	msmpeg4v1	unregistered	Y	MPEG-4 part 2 Microsoft variant version 1
avi	m4v	mp4	DEVSD 	msmpeg4v2	unregistered	Y	MPEG-4 part 2 Microsoft variant version 2
---	---	---	D V D 	msrle	unregistered	Y	Microsoft RLE
---	---	---	D V D 	mss1	unregistered	Y	MS Screen 1
---	---	---	D V   	mss2	unregistered	Y	MS Windows Media Video V9 Screen
---	---	---	DEV D 	msvideo1	unregistered	Y	Microsoft Video 1
---	---	---	D V D 	mszh	unregistered	Y	LCL (LossLess Codec Library) MSZH
---	---	---	D V D 	mts2	unregistered	Y	MS Expression Encoder Screen
---	---	---	D V D 	mxpeg	unregistered	Y	Mobotix MxPEG video
---	---	---	DEA D 	nellymoser	unregistered	Y	Nellymoser Asao
---	---	---	D V D 	nuv	unregistered	Y	NuppelVideo/RTJPEG
---	---	---	D A D 	paf_audio	unregistered	Y	Amazing Studio Packed Animation File Audio
---	---	---	D V D 	paf_video	unregistered	Y	Amazing Studio Packed Animation File Video
---	---	---	DEV D 	pam	unregistered	Y	PAM (Portable AnyMap) image
---	---	---	DEV D 	pbm	unregistered	Y	PBM (Portable BitMap) image
wav	---	---	DEA D 	pcm_alaw	unregistered	Y	PCM A-law
wav	---	---	D A D 	pcm_bluray	unregistered	Y	PCM signed 16|20|24-bit big-endian for Blu-ray media
wav	---	---	D A D 	pcm_dvd	unregistered	Y	PCM signed 20|24-bit big-endian
wav	---	---	DEA D 	pcm_f32be	unregistered	Y	PCM 32-bit floating point big-endian
wav	---	---	DEA D 	pcm_f32le	unregistered	Y	PCM 32-bit floating point little-endian
wav	---	---	DEA D 	pcm_f64be	unregistered	Y	PCM 64-bit floating point big-endian
